method,dataset,point_group,sigma,n_total,n_crashed,n_valid,crash_rate,mean_emd,median_emd,mean_theta_deg,median_theta_deg,flip_rate,n_molecules
asun,qm-sym,C2h,0.0,120.0,0.0,120.0,0.0,1.2876735529678645,1.4913788458681387e-13,22.225284820581546,0.0,0.31666666666666665,8
asun,qm-sym,C2h,0.0001,120.0,0.0,120.0,0.0,1.1520466372362164,0.01978930679733007,19.354737319759924,0.40929668258203245,0.275,8
asun,qm-sym,C2h,0.001,120.0,0.0,120.0,0.0,1.5375049634903102,0.3800918893167682,27.20981674974509,5.702126775301115,0.5416666666666666,8
asun,qm-sym,C2h,0.003,120.0,0.0,120.0,0.0,2.045926286887616,1.9957928324501375,37.288185270607485,15.44977653824153,0.6666666666666666,8
asun,qm-sym,C2h,0.01,120.0,0.0,120.0,0.0,3.7670026813690525,4.241625581803721,55.04633488844992,54.78185610350769,0.8416666666666667,8
asun,qm-sym,C2h,0.03,120.0,0.0,120.0,0.0,4.251428629961223,4.5500969572545715,62.30873146369366,59.41685089920971,0.9166666666666666,8
asun,qm-sym,C2h,0.1,120.0,0.0,120.0,0.0,4.379420867050226,4.722228476357159,69.56255843319973,70.82934245346254,0.975,8
asun,qm-sym,C3h,0.0,75.0,0.0,75.0,0.0,0.2216321343655666,8.662110089745603e-07,1.0387284839376922,7.824964720612764e-06,0.06666666666666667,5
asun,qm-sym,C3h,0.0001,75.0,0.0,75.0,0.0,0.040152120106878124,0.005091525902382582,0.3469602792170825,0.08816625813293431,0.013333333333333334,5
asun,qm-sym,C3h,0.001,75.0,0.0,75.0,0.0,0.17600335353511035,0.04258265648327632,2.3071504336084505,0.7536067581257414,0.17333333333333334,5
asun,qm-sym,C3h,0.003,75.0,0.0,75.0,0.0,0.7389701227465603,0.15270492535214863,6.770272389945074,2.644651224561689,0.41333333333333333,5
asun,qm-sym,C3h,0.01,75.0,0.0,75.0,0.0,1.1551792243037173,0.45361289082186396,17.05342248754729,7.767455838623197,0.56,5
asun,qm-sym,C3h,0.03,75.0,0.0,75.0,0.0,1.9484833038754998,1.67803622102419,29.281886970787763,22.553998372347984,0.8533333333333334,5
asun,qm-sym,C3h,0.1,75.0,0.0,75.0,0.0,2.6823052484468093,2.8305977704499448,41.063935341625935,32.249329764385045,0.96,5
asun,qm-sym,C4h,0.0,30.0,0.0,30.0,0.0,0.7901312218491997,3.013517607473899e-13,4.357755500027085,1.4574827811144605e-06,0.43333333333333335,2
asun,qm-sym,C4h,0.0001,30.0,0.0,30.0,0.0,0.9370472344885985,0.9670881445807525,5.44767674251634,5.948546282580177,0.5,2
asun,qm-sym,C4h,0.001,30.0,0.0,30.0,0.0,1.439060097110246,1.8287025432282848,11.950362682671214,10.429762775823484,0.9333333333333333,2
asun,qm-sym,C4h,0.003,30.0,0.0,30.0,0.0,1.7751159417961604,2.0214923399284834,19.827687998813126,17.23851729802763,0.8333333333333334,2
asun,qm-sym,C4h,0.01,30.0,0.0,30.0,0.0,2.145349971726564,2.111518251122054,24.993130248304762,23.746133425375746,0.8333333333333334,2
asun,qm-sym,C4h,0.03,30.0,0.0,30.0,0.0,2.2381456041944303,2.2418984749399167,26.1283435280234,25.335558308616307,0.8666666666666667,2
asun,qm-sym,C4h,0.1,30.0,0.0,30.0,0.0,2.4959781595182293,2.4464746650177602,30.000530062766423,28.147955230713656,0.9666666666666667,2
asun,qm9,C*v,0.0,15.0,0.0,15.0,0.0,1.6779096076185093e-15,1.3837329828312699e-15,101.21743078642821,90.0,0.8666666666666667,1
asun,qm9,C*v,0.0001,15.0,0.0,15.0,0.0,0.0016731347583018377,0.0016868690143822707,82.565713773507,90.00001541862264,0.8666666666666667,1
asun,qm9,C*v,0.001,15.0,0.0,15.0,0.0,0.016753375263945172,0.017178500105764764,83.58488421826513,90.00081457364408,0.9333333333333333,1
asun,qm9,C*v,0.003,15.0,0.0,15.0,0.0,0.05042982896448264,0.053717794144170924,109.90839063505003,90.07200160469597,1.0,1
asun,qm9,C*v,0.01,15.0,0.0,15.0,0.0,0.17085602374965897,0.16648912210447206,97.20856885603395,90.26373550464429,1.0,1
asun,qm9,C*v,0.03,15.0,0.0,15.0,0.0,0.5489971071308481,0.44551302144513816,101.65331463447302,90.06957198196766,1.0,1
asun,qm9,C*v,0.1,15.0,0.0,15.0,0.0,1.3921544302790965,1.3198211008521135,108.4928355689577,104.92380349939883,1.0,1
asun,qm9,C1,0.0,120.0,0.0,120.0,0.0,1.1183000581547554e-15,9.92368405740465e-16,5.530891787128537e-07,0.0,0.0,8
asun,qm9,C1,0.0001,120.0,0.0,120.0,0.0,0.0006043850339475491,0.00045957331381332354,0.019093957786414702,0.013064079780764005,0.0,8
asun,qm9,C1,0.001,120.0,0.0,120.0,0.0,0.006040815172375257,0.004597678626209264,0.19082668854836396,0.13079964103549105,0.0,8
asun,qm9,C1,0.003,120.0,0.0,120.0,0.0,0.030171014346481055,0.013805894946606168,1.3165334882056863,0.39229961839460914,0.008333333333333333,8
asun,qm9,C1,0.01,120.0,0.0,120.0,0.0,0.1608269308623721,0.04682312873490495,6.00278899849574,1.3178978693827839,0.11666666666666667,8
asun,qm9,C1,0.03,120.0,0.0,120.0,0.0,0.4965625550642966,0.16510856266517676,15.796857636900482,4.575500329817668,0.48333333333333334,8
asun,qm9,C1,0.1,120.0,0.0,120.0,0.0,1.0806131582400256,0.9121620390984788,25.227653553599186,20.390750801490537,0.9666666666666667,8
asun,qm9,C2,0.0,120.0,0.0,120.0,0.0,0.21632111403484514,0.00013268188573566325,5.999915027752083,0.00397912893203967,0.19166666666666668,8
asun,qm9,C2,0.0001,120.0,0.0,120.0,0.0,0.21654898152428312,0.0004512538404692516,6.006681825074155,0.012362193530609904,0.19166666666666668,8
asun,qm9,C2,0.001,120.0,0.0,120.0,0.0,0.2007679775711155,0.0038316479669789063,4.292145342376619,0.11371336414445096,0.19166666666666668,8
asun,qm9,C2,0.003,120.0,0.0,120.0,0.0,0.29003582596249283,0.012291953627693685,6.7265794347013435,0.3796539368269203,0.26666666666666666,8
asun,qm9,C2,0.01,120.0,0.0,120.0,0.0,0.33024375858779337,0.03904215450753093,6.20178555070521,1.193767766479907,0.3,8
asun,qm9,C2,0.03,120.0,0.0,120.0,0.0,0.46696797612289054,0.13492910502248973,11.199556498307285,4.126585985186534,0.4583333333333333,8
asun,qm9,C2,0.1,120.0,0.0,120.0,0.0,0.856823386020713,0.8811731889801618,19.797798317511184,13.54676902509976,0.9333333333333333,8
asun,qm9,C2h,0.0,30.0,0.0,30.0,0.0,1.0077589818420996,0.762741613826908,36.91243692712962,46.36574149868367,0.5666666666666667,2
asun,qm9,C2h,0.0001,30.0,0.0,30.0,0.0,1.2622922366385863,1.1826127944741773,43.62646262269971,49.1806142368757,0.6666666666666666,2
asun,qm9,C2h,0.001,30.0,0.0,30.0,0.0,1.2324331840801583,1.0259879682156952,46.962710511139726,49.10257982539319,0.7,2
asun,qm9,C2h,0.003,30.0,0.0,30.0,0.0,1.2344956689008677,1.4214494079179363,52.6530083901442,48.9189753845933,0.8,2
asun,qm9,C2h,0.01,30.0,0.0,30.0,0.0,1.260455978732635,1.3318304258286369,42.53918665277532,47.72851881002184,0.6666666666666666,2
asun,qm9,C2h,0.03,30.0,0.0,30.0,0.0,1.3091605619790119,1.0879590155016432,45.96700034109548,47.834934564377875,0.7333333333333333,2
asun,qm9,C2h,0.1,30.0,0.0,30.0,0.0,1.2554815211132297,0.9676183828358103,43.938892060673844,47.575439464076524,0.9,2
asun,qm9,C2v,0.0,120.0,0.0,120.0,0.0,0.16853349067393275,0.00016450929904378232,7.512249950612966,0.005738005150747216,0.08333333333333333,8
asun,qm9,C2v,0.0001,120.0,0.0,120.0,0.0,0.16891030701297308,0.0005744752667579003,7.52460013977402,0.01757849037341293,0.08333333333333333,8
asun,qm9,C2v,0.001,120.0,0.0,120.0,0.0,0.21814611453061558,0.00482842401709046,10.151993625660696,0.16168929016330205,0.11666666666666667,8
asun,qm9,C2v,0.003,120.0,0.0,120.0,0.0,0.3489338787972046,0.01788382306197965,16.709147438894725,0.6528835907976709,0.21666666666666667,8
asun,qm9,C2v,0.01,120.0,0.0,120.0,0.0,0.34229921693806276,0.058224046225693674,16.123905809178968,2.0897874397474077,0.25,8
asun,qm9,C2v,0.03,120.0,0.0,120.0,0.0,0.4470677083681002,0.18900232205585166,19.27315236168284,6.612836609182834,0.6083333333333333,8
asun,qm9,C2v,0.1,120.0,0.0,120.0,0.0,1.0107070998588121,0.7260127657848401,36.768831237642566,23.171209647211654,0.975,8
asun,qm9,C3,0.0,15.0,0.0,15.0,0.0,0.0015164018272899593,0.0019657788308210904,0.011225816924692409,0.008056740411645986,0.0,1
asun,qm9,C3,0.0001,15.0,0.0,15.0,0.0,0.0015827976757877653,0.0020040489832880127,0.013327582613312981,0.012536124220087042,0.0,1
asun,qm9,C3,0.001,15.0,0.0,15.0,0.0,0.0998006170549486,0.003203574085234425,1.2105285327354613,0.0650623333838801,0.06666666666666667,1
asun,qm9,C3,0.003,15.0,0.0,15.0,0.0,0.4899948515032291,0.00963736868335261,5.888078028224977,0.3051458650925779,0.3333333333333333,1
asun,qm9,C3,0.01,15.0,0.0,15.0,0.0,0.793442086107126,1.443113032105173,10.867600451132411,15.85181632667125,0.5333333333333333,1
asun,qm9,C3,0.03,15.0,0.0,15.0,0.0,0.4555538412153299,0.10055851796400936,6.893804199406988,3.236804886270228,0.3333333333333333,1
asun,qm9,C3,0.1,15.0,0.0,15.0,0.0,1.0714015779583737,1.4615855844884278,22.23130601101733,24.332833517654116,0.9333333333333333,1
asun,qm9,Ci,0.0,15.0,0.0,15.0,0.0,1.060212795749413,1.5920256628189757,24.16371426232947,28.183276696592152,0.6,1
asun,qm9,Ci,0.0001,15.0,0.0,15.0,0.0,1.060453770594724,1.5920757131872445,24.17082208588154,28.189286877566015,0.6,1
asun,qm9,Ci,0.001,15.0,0.0,15.0,0.0,1.1915528333999292,1.5933353664593344,25.86622393130694,28.243342828635736,0.6666666666666666,1
asun,qm9,Ci,0.003,15.0,0.0,15.0,0.0,1.141137816901781,1.6025972599014167,25.448496070873002,27.948914879762718,0.6666666666666666,1
asun,qm9,Ci,0.01,15.0,0.0,15.0,0.0,1.4590653931993522,1.82258722382751,25.221890176041846,24.832128062067795,0.8,1
asun,qm9,Ci,0.03,15.0,0.0,15.0,0.0,1.1832403168445655,1.7659910233151543,28.257031122434398,31.015975047463677,0.8,1
asun,qm9,Ci,0.1,15.0,0.0,15.0,0.0,1.4029650251261998,1.624472020993975,30.552311408046087,31.510377785832173,0.9333333333333333,1
asun,qm9,Cs,0.0,120.0,0.0,120.0,0.0,0.3813082907705676,1.3083094078307921e-15,9.734494643615395,0.0,0.2,8
asun,qm9,Cs,0.0001,120.0,0.0,120.0,0.0,0.5513703884706574,0.001120155619345023,18.220175397937275,0.039397885608055884,0.31666666666666665,8
asun,qm9,Cs,0.001,120.0,0.0,120.0,0.0,0.5541961922108708,0.010265774496858601,24.664691202405564,0.5433518940224759,0.38333333333333336,8
asun,qm9,Cs,0.003,120.0,0.0,120.0,0.0,0.5381381340817886,0.03000359264100503,23.613569210786263,1.572207377487433,0.375,8
asun,qm9,Cs,0.01,120.0,0.0,120.0,0.0,0.6739218960670036,0.14245019285817528,18.859611482106825,4.804929773476632,0.49166666666666664,8
asun,qm9,Cs,0.03,120.0,0.0,120.0,0.0,0.8697220950085653,0.39136274894554246,24.076831268159644,12.001246083638737,0.7166666666666667,8
asun,qm9,Cs,0.1,120.0,0.0,120.0,0.0,1.2938379343285469,1.2580735717661695,31.579401273746136,21.41825279582687,0.95,8
asun,qm9,D2,0.0,15.0,0.0,15.0,0.0,0.4387802900264776,0.0004059444441099568,6.231169023432023,0.009901487329835323,0.26666666666666666,1
asun,qm9,D2,0.0001,15.0,0.0,15.0,0.0,0.43888426911790823,0.00041748852420498794,6.234449182054548,0.01019258623587587,0.26666666666666666,1
asun,qm9,D2,0.001,15.0,0.0,15.0,0.0,0.44022096629746216,0.0025401993158598517,6.272834671756387,0.06868893408060418,0.26666666666666666,1
asun,qm9,D2,0.003,15.0,0.0,15.0,0.0,0.8801461931887268,1.6442027322751482,12.523674723309108,23.233394118242103,0.5333333333333333,1
asun,qm9,D2,0.01,15.0,0.0,15.0,0.0,0.8816489875831224,1.5583470578936585,13.74518810467917,22.971207624127086,0.5333333333333333,1
asun,qm9,D2,0.03,15.0,0.0,15.0,0.0,0.37071076070504494,0.07657610984791735,8.254087621146612,2.232667823588056,0.2,1
asun,qm9,D2,0.1,15.0,0.0,15.0,0.0,0.9264268649281538,0.33200432690605336,14.681402953544755,8.692154655223984,0.8666666666666667,1
asun,synthetic,C2h,0.0,15.0,0.0,15.0,0.0,0.35121291584315123,6.495503907410876e-16,53.88561604468759,45.26190140121475,0.6,1
asun,synthetic,C2h,0.0001,15.0,0.0,15.0,0.0,0.43816135706350695,0.00039220049395869333,68.17999011310157,90.00000001090278,0.7333333333333333,1
asun,synthetic,C2h,0.001,15.0,0.0,15.0,0.0,0.4399856526731875,0.00392339240450902,50.21406543271317,71.237043168788,0.6,1
asun,synthetic,C2h,0.003,15.0,0.0,15.0,0.0,0.4440475038096139,0.01177923687280357,69.91770685750303,90.00005790518924,0.8,1
asun,synthetic,C2h,0.01,15.0,0.0,15.0,0.0,0.7103185742830374,0.8642755087520638,70.89302686052275,90.00189043088513,0.6666666666666666,1
asun,synthetic,C2h,0.03,15.0,0.0,15.0,0.0,0.8694750682659692,1.0136878727841103,98.14887550113232,90.03988122862424,1.0,1
asun,synthetic,C2h,0.1,15.0,0.0,15.0,0.0,1.0387314782980794,1.2766108854180953,92.55612375030084,90.71295860284081,1.0,1
asun,synthetic,D*h,0.0,30.0,0.0,30.0,0.0,2.689841059512859e-16,2.2195126404239e-16,83.15783132817556,90.0,0.8333333333333334,2
asun,synthetic,D*h,0.0001,30.0,0.0,30.0,0.0,0.00016231610370851155,0.00014460916938628497,75.16074941384564,90.00000000527275,0.6333333333333333,2
asun,synthetic,D*h,0.001,30.0,0.0,30.0,0.0,0.0016234137894139663,0.0014465307839030932,79.24423425180797,90.00000145693917,0.7666666666666667,2
asun,synthetic,D*h,0.003,30.0,0.0,30.0,0.0,0.004784776860273247,0.004342512563065027,88.73022236966055,90.00006274809203,0.7,2
asun,synthetic,D*h,0.01,30.0,0.0,30.0,0.0,0.2776174733797859,0.02311670650538123,86.46525033261202,90.00052315269224,0.7666666666666667,2
asun,synthetic,D*h,0.03,30.0,0.0,30.0,0.0,0.419126584007891,0.12784759054356268,97.49195736475953,90.03205481239641,0.9666666666666667,2
asun,synthetic,D*h,0.1,30.0,0.0,30.0,0.0,0.535831542368334,0.44139990752918423,92.52873120376671,90.00227933215173,1.0,2
asun,synthetic,D2d,0.0,15.0,0.0,15.0,0.0,0.5521708992292312,0.7529603171307697,66.00000027482558,89.99999999999999,0.7333333333333333,1
asun,synthetic,D2d,0.0001,15.0,0.0,15.0,0.0,0.552225730279846,0.7529575769743335,65.99615013186418,89.98995342668708,0.7333333333333333,1
asun,synthetic,D2d,0.001,15.0,0.0,15.0,0.0,0.5527198941793139,0.7529356381997542,65.96157234474649,89.89981998785566,0.7333333333333333,1
asun,synthetic,D2d,0.003,15.0,0.0,15.0,0.0,0.5043512612121288,0.7514600332917484,59.95776071337575,89.60852189448742,0.6666666666666666,1
asun,synthetic,D2d,0.01,15.0,0.0,15.0,0.0,1.380239260270902,1.4862885699470125,63.03007351680526,58.3687150024742,1.0,1
asun,synthetic,D2d,0.03,15.0,0.0,15.0,0.0,1.4455981654931316,1.5487924022704633,60.54080580011427,55.5666478431888,1.0,1
asun,synthetic,D2d,0.1,15.0,0.0,15.0,0.0,1.4524001610160722,1.5581343119600397,62.40675039708908,57.40241168266299,1.0,1
asun,synthetic,D3h,0.0,60.0,15.0,45.0,0.25,0.07193804177567886,6.005186740962545e-16,29.900058143090362,1.7075472925031877e-06,0.4888888888888889,4
asun,synthetic,D3h,0.0001,60.0,15.0,45.0,0.25,0.07207972460067884,0.0001882570022830386,33.903284317379125,10.68323654001614,0.5333333333333333,4
asun,synthetic,D3h,0.001,60.0,15.0,45.0,0.25,0.08227051670662494,0.0018899521750740948,34.16045424509187,10.642060911413598,0.5555555555555556,4
asun,synthetic,D3h,0.003,60.0,15.0,45.0,0.25,0.5231849391297398,0.006730335631779768,47.63146468879605,40.73272201861553,0.7333333333333333,4
asun,synthetic,D3h,0.01,60.0,15.0,45.0,0.25,0.5059709673371712,0.02370806038025785,40.255520030513175,11.029492629748233,0.6666666666666666,4
asun,synthetic,D3h,0.03,60.0,15.0,45.0,0.25,0.5858226319905151,0.40742763754116335,48.14315362088748,40.38382672897898,0.7111111111111111,4
asun,synthetic,D3h,0.1,60.0,15.0,45.0,0.25,0.6630488522094806,0.4451736227363627,44.17363250925858,25.126062643988398,0.8222222222222222,4
asun,synthetic,D4h,0.0,45.0,15.0,30.0,0.3333333333333333,0.21568510663664142,0.22226161806460493,36.57215023328329,14.555522652232732,0.7,3
asun,synthetic,D4h,0.0001,45.0,15.0,30.0,0.3333333333333333,0.2113362992845315,0.2372586403312083,39.170886037991565,15.206905631861009,0.7,3
asun,synthetic,D4h,0.001,45.0,15.0,30.0,0.3333333333333333,0.21215352099567175,0.23821761779200495,41.95251715762018,13.482209405811314,0.6666666666666666,3
asun,synthetic,D4h,0.003,45.0,15.0,30.0,0.3333333333333333,0.23739780066074995,0.24035155779033635,35.49595605471439,15.172909083409557,0.6666666666666666,3
asun,synthetic,D4h,0.01,45.0,22.0,23.0,0.4888888888888889,0.43618028796670905,0.5605375594441194,34.935845719726125,18.231491071186777,0.9130434782608695,3
asun,synthetic,D4h,0.03,45.0,16.0,29.0,0.35555555555555557,0.3524779118698735,0.28884942577079675,42.45871299891077,16.223003809617587,0.8620689655172413,3
asun,synthetic,D4h,0.1,45.0,15.0,30.0,0.3333333333333333,0.38035929630801235,0.3277647762236515,41.03401704837447,24.326941249901516,0.9666666666666667,3
asun,synthetic,D5h,0.0,45.0,15.0,30.0,0.3333333333333333,0.18347444278741312,5.250521330045365e-16,24.14341399453116,10.478046134824556,0.5333333333333333,3
asun,synthetic,D5h,0.0001,45.0,15.0,30.0,0.3333333333333333,0.18359380230965613,0.00018464298482681526,24.14743397088631,10.476551196488789,0.5333333333333333,3
asun,synthetic,D5h,0.001,45.0,15.0,30.0,0.3333333333333333,0.18466869706434977,0.0018463909955575137,21.187437299181394,5.2857443800562445,0.5,3
asun,synthetic,D5h,0.003,45.0,15.0,30.0,0.3333333333333333,0.1899831627802479,0.005340547519994446,12.750498644445056,0.2952338139032033,0.4,3
asun,synthetic,D5h,0.01,45.0,15.0,30.0,0.3333333333333333,0.29306395137978813,0.019564054853095623,35.77957733137019,18.858329707527837,0.7333333333333333,3
asun,synthetic,D5h,0.03,45.0,15.0,30.0,0.3333333333333333,0.3286761871609213,0.06708704475157969,33.03828670132673,15.50504169047226,0.7,3
asun,synthetic,D5h,0.1,45.0,15.0,30.0,0.3333333333333333,0.3428799246504521,0.17750216618190784,24.830862185265506,10.082390088052772,0.7666666666666667,3
asun,synthetic,D6h,0.0,60.0,15.0,45.0,0.25,0.14968753089934597,8.996840791312546e-16,24.46966275439872,2.5277527574734764,0.4888888888888889,4
asun,synthetic,D6h,0.0001,60.0,15.0,45.0,0.25,0.17296921818277863,0.00020568641059642365,37.497890522620075,9.873855584788874,0.6222222222222222,4
asun,synthetic,D6h,0.001,60.0,15.0,45.0,0.25,0.19692297087119195,0.0022300189450662382,36.52711103262189,15.866181895033392,0.6222222222222222,4
asun,synthetic,D6h,0.003,60.0,15.0,45.0,0.25,0.23499829014314094,0.007258849145071759,35.74362968406831,15.989805010912585,0.6444444444444445,4
asun,synthetic,D6h,0.01,60.0,15.0,45.0,0.25,0.3279469747439163,0.024297914835514592,48.647959069839324,51.47682430579051,0.7777777777777778,4
asun,synthetic,D6h,0.03,60.0,15.0,45.0,0.25,0.32539835399206096,0.07747295287423804,42.98864479208637,27.800719148588094,0.7333333333333333,4
asun,synthetic,D6h,0.1,60.0,15.0,45.0,0.25,0.3742020307482662,0.2493729825594668,38.08063491638021,13.415510661274098,0.8444444444444444,4
asun,synthetic,D7h,0.0,45.0,15.0,30.0,0.3333333333333333,0.24454990906640692,6.815786089583589e-16,23.521947686242243,4.728652356901522,0.5,3
asun,synthetic,D7h,0.0001,45.0,15.0,30.0,0.3333333333333333,0.2446856529726579,0.00020154040388266234,20.52534559476394,0.01275664834774121,0.4666666666666667,3
asun,synthetic,D7h,0.001,45.0,15.0,30.0,0.3333333333333333,0.27305182795062005,0.0020556287758542718,18.44858834378741,0.15177901844462607,0.4666666666666667,3
asun,synthetic,D7h,0.003,45.0,15.0,30.0,0.3333333333333333,0.3676783894489785,0.006490843835481722,24.666316898560652,9.35750410997961,0.5333333333333333,3
asun,synthetic,D7h,0.01,45.0,15.0,30.0,0.3333333333333333,0.3464582895264767,0.021257662872803826,24.335221364955718,6.749553000054878,0.5333333333333333,3
asun,synthetic,D7h,0.03,45.0,15.0,30.0,0.3333333333333333,0.4299082615432258,0.07024023131712162,35.0048260297967,10.734344710247933,0.7666666666666667,3
asun,synthetic,D7h,0.1,45.0,15.0,30.0,0.3333333333333333,0.4885805989345125,0.23144755478428364,29.676376915199587,12.524080836852754,0.8666666666666667,3
asun,synthetic,D8h,0.0,45.0,15.0,30.0,0.3333333333333333,0.32441536632468887,7.63682402691368e-16,26.548613953033502,7.645841346836297,0.6,3
asun,synthetic,D8h,0.0001,45.0,15.0,30.0,0.3333333333333333,0.32453921795115404,0.00022353709592582365,32.54938401951943,7.6441080276339495,0.6666666666666666,3
asun,synthetic,D8h,0.001,45.0,15.0,30.0,0.3333333333333333,0.35805107748152204,0.0022568972861503308,17.823796103549945,7.599551741815853,0.5333333333333333,3
asun,synthetic,D8h,0.003,45.0,15.0,30.0,0.3333333333333333,0.43033009742668527,0.007581443531432905,27.1196240969197,7.6308801656997565,0.6666666666666666,3
asun,synthetic,D8h,0.01,45.0,15.0,30.0,0.3333333333333333,0.5321261090444735,0.8313183192737793,30.67710573278652,15.78524487248967,0.7333333333333333,3
asun,synthetic,D8h,0.03,45.0,15.0,30.0,0.3333333333333333,0.5080529974447425,0.43928714115809053,38.83674659596024,20.720016256843763,0.8,3
asun,synthetic,D8h,0.1,45.0,15.0,30.0,0.3333333333333333,0.5962535157422798,0.5670690892433952,35.51814849119793,10.432521359692771,0.9333333333333333,3
asun,synthetic,Ih,0.0,15.0,0.0,15.0,0.0,3.353738521763543e-16,3.4011667994339474e-16,3.219782052601956e-07,0.0,0.0,1
asun,synthetic,Ih,0.0001,15.0,0.0,15.0,0.0,0.00019479228661739583,0.00019277071637528376,0.007504228814192393,0.0070307842514919115,0.0,1
asun,synthetic,Ih,0.001,15.0,0.0,15.0,0.0,0.0019480688073263905,0.0019280651715723697,0.07507647173970237,0.07027742943480737,0.0,1
asun,synthetic,Ih,0.003,15.0,0.0,15.0,0.0,0.04631717780628202,0.0057866203450586086,2.608029583724494,0.21828875210657528,0.06666666666666667,1
asun,synthetic,Ih,0.01,15.0,0.0,15.0,0.0,0.1359428759895421,0.01931843419584312,7.577031534280037,0.6769446321954644,0.2,1
asun,synthetic,Ih,0.03,15.0,0.0,15.0,0.0,0.23426272492394223,0.06371310498752704,12.69972064660268,2.1919342490304627,0.3333333333333333,1
asun,synthetic,Ih,0.1,15.0,0.0,15.0,0.0,0.21246893637961428,0.18784302954877563,8.314182656417353,6.396125170927246,0.8666666666666667,1
asun,synthetic,Oh,0.0,30.0,15.0,15.0,0.5,3.795048862613358e-16,3.461124860740544e-16,8.04945513150489e-08,0.0,0.0,2
asun,synthetic,Oh,0.0001,30.0,15.0,15.0,0.5,0.00018198927956221544,0.0001788947918767214,0.007062734077470195,0.006684009633205359,0.0,2
asun,synthetic,Oh,0.001,30.0,15.0,15.0,0.5,0.0018198561822218532,0.0017890858768444162,0.07062487420283746,0.06682093956116784,0.0,2
asun,synthetic,Oh,0.003,30.0,15.0,15.0,0.5,0.1260838635901129,0.005869854795794705,0.21012721424113676,0.1839958177843975,0.0,2
asun,synthetic,Oh,0.01,30.0,15.0,15.0,0.5,0.26733192801596134,0.028003655364322977,1.431584608238612,0.49350444861293996,0.06666666666666667,2
asun,synthetic,Oh,0.03,30.0,15.0,15.0,0.5,0.2884561288173827,0.06011606892747315,2.3612385651363166,1.832991538460549,0.06666666666666667,2
asun,synthetic,Oh,0.1,30.0,15.0,15.0,0.5,0.4325464946664123,0.6188781946330877,5.800819232625681,5.193514302519107,0.6,2
