method,dataset,point_group,sigma,n_total,n_crashed,n_valid,crash_rate,mean_emd,median_emd,mean_theta_deg,median_theta_deg,flip_rate,n_molecules
asun,synthetic,Td,0.0,30.0,0.0,30.0,0.0,2.7238669577118897e-16,2.6857876828042127e-16,8.04945513150489e-08,0.0,0.0,2
asun,synthetic,Td,0.0001,30.0,0.0,30.0,0.0,0.00013354856699138395,0.0001303682690201286,0.0063606324215868286,0.005737257646333328,0.0,2
asun,synthetic,Td,0.001,30.0,0.0,30.0,0.0,0.0013137170422043583,0.0013031872579621793,0.060572786282911587,0.0551810596018548,0.0,2
asun,synthetic,Td,0.003,30.0,0.0,30.0,0.0,0.02214788084638958,0.0038162374667050874,1.736904736125664,0.17025199442161326,0.03333333333333333,2
asun,synthetic,Td,0.01,30.0,0.0,30.0,0.0,0.15646350620791752,0.013764828527095794,12.940722486206974,0.6543423875336782,0.3,2
asun,synthetic,Td,0.03,30.0,0.0,30.0,0.0,0.2581220512205281,0.05950636246461864,21.117888897027807,3.485171314751106,0.4666666666666667,2
asun,synthetic,Td,0.1,30.0,0.0,30.0,0.0,0.3350962632982963,0.27072672208738136,24.96028777456361,18.734194776167364,0.9,2
ours,qm-sym,C2h,0.0,120.0,0.0,120.0,0.0,3.5583293094653816e-15,2.6969631720790127e-15,4.880558934591529e-07,0.0,0.0,8
ours,qm-sym,C2h,0.0001,120.0,0.0,120.0,0.0,0.00016019171015659543,0.0001589141132709585,0.0014651636495489895,0.001255598737916854,0.0,8
ours,qm-sym,C2h,0.001,120.0,0.0,120.0,0.0,0.0016019254277091406,0.0015892286025661674,0.014652600572022162,0.012569220399976013,0.0,8
ours,qm-sym,C2h,0.003,120.0,0.0,120.0,0.0,0.004805832919735628,0.004768271290855912,0.04396426558277319,0.03779597287768251,0.0,8
ours,qm-sym,C2h,0.01,120.0,0.0,120.0,0.0,0.016020144851661557,0.01590115403995062,0.14662487457347229,0.12772812149955792,0.0,8
ours,qm-sym,C2h,0.03,120.0,0.0,120.0,0.0,0.07421725844824198,0.04780798115598796,0.4633631315869655,0.3849884913265299,0.0,8
ours,qm-sym,C2h,0.1,120.0,0.0,120.0,0.0,0.25563252265244435,0.1600125050476119,2.3754304111856923,1.3206409161880142,0.041666666666666664,8
ours,qm-sym,C3h,0.0,75.0,0.0,75.0,0.0,2.235784410285794e-15,1.759702569904896e-15,3.9418634760841153e-07,0.0,0.0,5
ours,qm-sym,C3h,0.0001,75.0,0.0,75.0,0.0,4.454884759423252,4.510094409185981,44.73785626145532,48.11053062715477,0.9866666666666667,5
ours,qm-sym,C3h,0.001,75.0,0.0,75.0,0.0,4.515516831623417,4.528402484388498,44.70394301102299,47.4364724574643,1.0,5
ours,qm-sym,C3h,0.003,75.0,0.0,75.0,0.0,4.51552851481592,4.5281156723904585,44.628650952782834,47.44048595264551,1.0,5
ours,qm-sym,C3h,0.01,75.0,0.0,75.0,0.0,4.515786988477461,4.5273236615625745,44.79903867661086,47.45415165560702,1.0,5
ours,qm-sym,C3h,0.03,75.0,0.0,75.0,0.0,4.516521916808106,4.515338693068025,44.276351925306656,46.040852916109465,1.0,5
ours,qm-sym,C3h,0.1,75.0,0.0,75.0,0.0,4.541557463070487,4.538530010830529,44.881389426330465,48.22893620079112,0.9733333333333334,5
ours,qm-sym,C4h,0.0,30.0,0.0,30.0,0.0,2.0224334927258096e-15,1.6740876166473906e-15,2.1790734571353738e-07,0.0,0.0,2
ours,qm-sym,C4h,0.0001,30.0,0.0,30.0,0.0,3.9793428434591935,3.9589043034953537,42.87952259052451,47.06458200686062,1.0,2
ours,qm-sym,C4h,0.001,30.0,0.0,30.0,0.0,3.979372561066943,3.9588991402300997,42.997556798405284,47.065181977894554,1.0,2
ours,qm-sym,C4h,0.003,30.0,0.0,30.0,0.0,3.9794318957978465,3.9589003881659135,42.907546177754256,46.67102963004257,1.0,2
ours,qm-sym,C4h,0.01,30.0,0.0,30.0,0.0,3.9795552449414253,3.958859371670969,42.80537886681882,46.077320437941836,1.0,2
ours,qm-sym,C4h,0.03,30.0,0.0,30.0,0.0,3.9797968902762677,3.9591983055205553,42.67772986060527,46.11312648089125,1.0,2
ours,qm-sym,C4h,0.1,30.0,0.0,30.0,0.0,3.980880342600775,3.9666681306920837,42.4129808538941,46.071189981468834,1.0,2
ours,qm9,C*v,0.0,15.0,0.0,15.0,0.0,4.3447424802922515e-16,3.922143702898354e-16,60.0,90.0,0.6666666666666666,1
ours,qm9,C*v,0.0001,15.0,0.0,15.0,0.0,0.9121311088950523,0.0001736403041131334,93.94915686197425,90.0,0.8,1
ours,qm9,C*v,0.001,15.0,0.0,15.0,0.0,0.912846617400512,0.0017364421112497092,95.99605421572264,90.00000000000007,0.8,1
ours,qm9,C*v,0.003,15.0,0.0,15.0,0.0,1.1745008201435465,1.9537054882637794,84.99559731339225,90.00000000000189,0.7333333333333333,1
ours,qm9,C*v,0.01,15.0,0.0,15.0,0.0,1.439522484136204,1.9573073999877142,107.91906390084851,90.00000000110413,0.8666666666666667,1
ours,qm9,C*v,0.03,15.0,0.0,15.0,0.0,1.454962689062458,1.9652576049198953,119.5291449831289,178.37095958404703,0.8,1
ours,qm9,C*v,0.1,15.0,0.0,15.0,0.0,1.513136487751719,1.9963359462040273,112.80395520420335,90.00000307214768,0.8666666666666667,1
ours,qm9,C1,0.0,120.0,0.0,120.0,0.0,1.5262413133365808e-15,1.228357649294699e-15,3.8794700351022444e-07,0.0,0.0,8
ours,qm9,C1,0.0001,120.0,0.0,120.0,0.0,0.00018732984493853843,0.00018032866040083195,0.0034409783275280463,0.0031678876370317935,0.0,8
ours,qm9,C1,0.001,120.0,0.0,120.0,0.0,0.001873275456762576,0.001802798559259823,0.03441029450348549,0.03163058258809732,0.0,8
ours,qm9,C1,0.003,120.0,0.0,120.0,0.0,0.005619683855838608,0.005405165257139882,0.10323485005283199,0.09457105630169589,0.0,8
ours,qm9,C1,0.01,120.0,0.0,120.0,0.0,0.060678599393374576,0.01807261160716332,0.5184839959896465,0.32247712867073086,0.025,8
ours,qm9,C1,0.03,120.0,0.0,120.0,0.0,0.15390099952079636,0.05446017997933726,1.3988969242107259,1.0034402300337901,0.05,8
ours,qm9,C1,0.1,120.0,0.0,120.0,0.0,0.4421351531361703,0.19278978978682926,4.822619320966679,3.587778208703802,0.30833333333333335,8
ours,qm9,C2,0.0,120.0,0.0,120.0,0.0,3.0187915864349025e-15,2.2198011752516215e-15,3.761588493944198e-07,0.0,0.0,8
ours,qm9,C2,0.0001,120.0,0.0,120.0,0.0,0.00033510463181444725,0.0002154757179994564,0.008970623168491494,0.004533867888859693,0.0,8
ours,qm9,C2,0.001,120.0,0.0,120.0,0.0,0.0033529761599610896,0.0022899537554572705,0.09243874151411789,0.04956090418890274,0.0,8
ours,qm9,C2,0.003,120.0,0.0,120.0,0.0,0.009875284151206028,0.006635656161782038,0.27381379447958465,0.14471703988349655,0.0,8
ours,qm9,C2,0.01,120.0,0.0,120.0,0.0,0.04216342112050955,0.021434172868401,0.9075498669750768,0.46172115618527454,0.0,8
ours,qm9,C2,0.03,120.0,0.0,120.0,0.0,0.1698689246017567,0.06335145646189508,2.764136032175675,1.420678549291753,0.175,8
ours,qm9,C2,0.1,120.0,0.0,120.0,0.0,0.46733693252348124,0.2743909177820141,7.989160384137947,5.480371447828869,0.5333333333333333,8
ours,qm9,C2h,0.0,30.0,0.0,30.0,0.0,2.672602387948899e-15,1.9129729589245935e-15,5.260748693623446e-07,0.0,0.0,2
ours,qm9,C2h,0.0001,30.0,0.0,30.0,0.0,0.3122202359515932,0.00019138947344200316,27.012224886129356,0.004329517419101122,0.3,2
ours,qm9,C2h,0.001,30.0,0.0,30.0,0.0,0.34810887188986867,0.0019502571538767418,24.290669729969288,0.05386277268507636,0.26666666666666666,2
ours,qm9,C2h,0.003,30.0,0.0,30.0,0.0,0.4251152963820924,0.006102664858166445,25.018465066896724,0.2901075470609662,0.3333333333333333,2
ours,qm9,C2h,0.01,30.0,0.0,30.0,0.0,0.6542591542373876,1.0385922703933874,27.531489448719867,7.499709752587503,0.5333333333333333,2
ours,qm9,C2h,0.03,30.0,0.0,30.0,0.0,0.7785095423421147,1.0615404028332662,28.902378707969202,11.738256955336233,0.6333333333333333,2
ours,qm9,C2h,0.1,30.0,0.0,30.0,0.0,0.7972619526281479,1.093613120688481,31.395771871737374,9.11466794557198,0.7333333333333333,2
ours,qm9,C2v,0.0,120.0,0.0,120.0,0.0,3.1643018903504805e-15,1.5086991830810457e-15,3.6929505128544433e-07,0.0,0.0,8
ours,qm9,C2v,0.0001,120.0,0.0,120.0,0.0,0.0005038069405847284,0.00024372794006349559,0.0159431819365207,0.006027617462627288,0.0,8
ours,qm9,C2v,0.001,120.0,0.0,120.0,0.0,0.0053403779104622085,0.002133489960155457,0.17859693731812867,0.05284489304508846,0.0,8
ours,qm9,C2v,0.003,120.0,0.0,120.0,0.0,0.01636024044976448,0.006321065437172847,0.5510550993718444,0.14704006651444265,0.008333333333333333,8
ours,qm9,C2v,0.01,120.0,0.0,120.0,0.0,0.09347805668104972,0.021703386022194307,1.9474428326500088,0.528319101617478,0.1,8
ours,qm9,C2v,0.03,120.0,0.0,120.0,0.0,0.2333189134916396,0.06736744487794312,5.1569015126155175,1.544072094343484,0.20833333333333334,8
ours,qm9,C2v,0.1,120.0,0.0,120.0,0.0,0.4723536328625982,0.22620447982741623,9.375860014753963,5.283079987787438,0.525,8
ours,qm9,C3,0.0,15.0,0.0,15.0,0.0,9.315693619444366e-13,8.492137794378731e-13,5.496511775939539e-07,0.0,0.0,1
ours,qm9,C3,0.0001,15.0,0.0,15.0,0.0,0.10178654741207463,0.10117143066275511,2.9103131886373967,2.892819441496479,0.0,1
ours,qm9,C3,0.001,15.0,0.0,15.0,0.0,0.7447945439912412,0.8798159448521771,11.53904471039283,8.52263793161762,0.8,1
ours,qm9,C3,0.003,15.0,0.0,15.0,0.0,0.743532697655477,0.8486848977747632,12.959460941976083,8.870099999669094,0.8,1
ours,qm9,C3,0.01,15.0,0.0,15.0,0.0,0.7036169013775283,0.7845009169297923,11.688699018765465,10.902898676007524,0.6666666666666666,1
ours,qm9,C3,0.03,15.0,0.0,15.0,0.0,0.7111534638108009,0.7870339110309301,11.741484692163047,10.415381946385644,0.6666666666666666,1
ours,qm9,C3,0.1,15.0,0.0,15.0,0.0,0.7474295332809859,0.8362592089727059,12.265396121999386,9.881780212075217,0.8,1
ours,qm9,Ci,0.0,15.0,0.0,15.0,0.0,1.4535810105525458e-15,1.428881576622265e-15,4.69156626278905e-07,0.0,0.0,1
ours,qm9,Ci,0.0001,15.0,0.0,15.0,0.0,0.00017158547632751848,0.0001705979564850073,0.001427081021569933,0.0014679316412757734,0.0,1
ours,qm9,Ci,0.001,15.0,0.0,15.0,0.0,0.0016341404878426598,0.001639502778498825,0.014269791243838589,0.01468860387481045,0.0,1
ours,qm9,Ci,0.003,15.0,0.0,15.0,0.0,0.004899178369478487,0.004923489682150007,0.04280242949649184,0.04412317290215898,0.0,1
ours,qm9,Ci,0.01,15.0,0.0,15.0,0.0,0.1693515739057974,0.01668137800490615,2.8837109824641023,0.15880542988715413,0.2,1
ours,qm9,Ci,0.03,15.0,0.0,15.0,0.0,0.2941397070554167,0.050044300086784656,4.866173093473516,0.586488867117965,0.3333333333333333,1
ours,qm9,Ci,0.1,15.0,0.0,15.0,0.0,0.5653395490449753,0.7645091752063601,5.602922897555483,3.7286199168517027,0.4,1
ours,qm9,Cs,0.0,120.0,0.0,120.0,0.0,1.5421405204084295e-15,1.1529575302255347e-15,4.0634430613756315e-07,0.0,0.0,8
ours,qm9,Cs,0.0001,120.0,0.0,120.0,0.0,0.2180994367690893,0.00018071643260843208,13.655457552047624,0.002978682089640394,0.16666666666666666,8
ours,qm9,Cs,0.001,120.0,0.0,120.0,0.0,0.2793552317950471,0.001739607514351081,14.632873922242986,0.031699329040723576,0.18333333333333332,8
ours,qm9,Cs,0.003,120.0,0.0,120.0,0.0,0.36575211083909337,0.005483176659616841,14.102475987236406,0.09984400060473538,0.19166666666666668,8
ours,qm9,Cs,0.01,120.0,0.0,120.0,0.0,0.5558059625416152,0.02912990795689281,15.457732389367091,0.407179492286982,0.25833333333333336,8
ours,qm9,Cs,0.03,120.0,0.0,120.0,0.0,0.6908298266739584,0.29219279776249296,16.332696425975318,1.2501787734569763,0.2833333333333333,8
ours,qm9,Cs,0.1,120.0,0.0,120.0,0.0,0.7654208774688984,0.37666418160633364,18.645102215417936,3.698442917201083,0.43333333333333335,8
ours,qm9,D2,0.0,15.0,0.0,15.0,0.0,1.1415655552044372e-15,1.0887867229736422e-15,4.3581469142707476e-07,0.0,0.0,1
ours,qm9,D2,0.0001,15.0,0.0,15.0,0.0,0.000232571387514799,0.00017092478058557353,0.0042048017399894016,0.00228166722094036,0.0,1
ours,qm9,D2,0.001,15.0,0.0,15.0,0.0,0.0017411455930660138,0.0016683275053935276,0.024755755954170858,0.02280981503754064,0.0,1
ours,qm9,D2,0.003,15.0,0.0,15.0,0.0,0.005154692446124058,0.004911677397572143,0.07364737411254248,0.06577805075254341,0.0,1
ours,qm9,D2,0.01,15.0,0.0,15.0,0.0,0.017171713683523375,0.016381873827466305,0.2458479717833553,0.21896201692562964,0.0,1
ours,qm9,D2,0.03,15.0,0.0,15.0,0.0,0.05152526595668221,0.04928059626813183,0.7399787831502159,0.6542652046238725,0.0,1
ours,qm9,D2,0.1,15.0,0.0,15.0,0.0,0.17233027050350516,0.16359458871263852,2.517443794597228,2.147872109192101,0.06666666666666667,1
ours,synthetic,C2h,0.0,15.0,0.0,15.0,0.0,5.338450920628248e-16,4.756295149049138e-16,4.69156626278905e-07,0.0,0.0,1
ours,synthetic,C2h,0.0001,15.0,0.0,15.0,0.0,0.11838845400026576,0.0001617689899447311,3.477202549702663,0.00477035250503171,0.13333333333333333,1
ours,synthetic,C2h,0.001,15.0,0.0,15.0,0.0,0.11981146177670127,0.0016175493516786676,3.5148881893463004,0.04776968921108935,0.13333333333333333,1
ours,synthetic,C2h,0.003,15.0,0.0,15.0,0.0,0.12297695214120276,0.004851684131647917,3.5987933312851537,0.14375114779257825,0.13333333333333333,1
ours,synthetic,C2h,0.01,15.0,0.0,15.0,0.0,0.13409216458725481,0.016263546189508416,3.8942306108895695,0.4843624625843411,0.13333333333333333,1
ours,synthetic,C2h,0.03,15.0,0.0,15.0,0.0,0.16617470536843384,0.049715675220619086,4.754445137134281,1.4443512501288804,0.13333333333333333,1
ours,synthetic,C2h,0.1,15.0,0.0,15.0,0.0,0.2825652240908878,0.1772049695573196,7.975914164790484,5.496884524582355,0.5333333333333333,1
ours,synthetic,D*h,0.0,30.0,0.0,30.0,0.0,2.1597365414525725e-16,2.1203681063691976e-16,54.45527554472615,90.0,0.6333333333333333,2
ours,synthetic,D*h,0.0001,30.0,0.0,30.0,0.0,0.00010887012714793266,0.0001074237429215727,47.9737920909039,89.60688136355849,0.5333333333333333,2
ours,synthetic,D*h,0.001,30.0,0.0,30.0,0.0,0.0010886756517246839,0.001074269913089709,41.949774747288544,3.062021319774982e-05,0.4666666666666667,2
ours,synthetic,D*h,0.003,30.0,0.0,30.0,0.0,0.0032658583194495397,0.0032230273042183092,51.000056387057874,90.0,0.5666666666666667,2
ours,synthetic,D*h,0.01,30.0,0.0,30.0,0.0,0.01088430854874444,0.010745999998517164,39.00080900594093,0.003493779958864191,0.43333333333333335,2
ours,synthetic,D*h,0.03,30.0,0.0,30.0,0.0,0.03263901967157376,0.03226106652149513,42.004631292148275,0.024607390302533033,0.4666666666666667,2
ours,synthetic,D*h,0.1,30.0,0.0,30.0,0.0,0.1087364828452877,0.10784835083266511,46.764774376780025,70.32378178486582,0.5333333333333333,2
ours,synthetic,D2d,0.0,15.0,0.0,15.0,0.0,8.622672547727604e-16,6.508487379128428e-16,3.5532014011202584e-07,0.0,0.0,1
ours,synthetic,D2d,0.0001,15.0,0.0,15.0,0.0,0.25235651840285683,0.2775779239034351,27.581243562282417,30.211693667062658,0.9333333333333333,1
ours,synthetic,D2d,0.001,15.0,0.0,15.0,0.0,0.25299772059897596,0.2781848578509423,27.58765331069445,30.203363430247723,0.9333333333333333,1
ours,synthetic,D2d,0.003,15.0,0.0,15.0,0.0,0.25443383933913283,0.27953781263261496,27.601879789487004,30.184727636521828,0.9333333333333333,1
ours,synthetic,D2d,0.01,15.0,0.0,15.0,0.0,0.25957273241031226,0.2843185150054318,27.651426174771117,30.118131867364397,0.9333333333333333,1
ours,synthetic,D2d,0.03,15.0,0.0,15.0,0.0,0.27324886799557285,0.29835758984198424,27.577079337508305,29.915574324081355,0.9333333333333333,1
ours,synthetic,D2d,0.1,15.0,0.0,15.0,0.0,0.3337518857488858,0.3517499807020562,27.87637262876484,29.044342349591055,1.0,1
ours,synthetic,D3h,0.0,60.0,0.0,60.0,0.0,6.565019672008624e-16,4.95048656686325e-16,3.268610185703061e-07,0.0,0.0,4
ours,synthetic,D3h,0.0001,60.0,0.0,60.0,0.0,0.8578306191320217,0.6773184658491723,64.17418212955775,67.28239521511357,1.0,4
ours,synthetic,D3h,0.001,60.0,0.0,60.0,0.0,0.8581876781407048,0.6769554455300537,64.20806967278092,67.26434688978763,1.0,4
ours,synthetic,D3h,0.003,60.0,0.0,60.0,0.0,0.8590399543945871,0.6760870380887649,64.23322732325416,67.22615719679641,1.0,4
ours,synthetic,D3h,0.01,60.0,0.0,60.0,0.0,0.8612387749565475,0.6824766656332502,64.07345645382132,67.27140828165675,1.0,4
ours,synthetic,D3h,0.03,60.0,0.0,60.0,0.0,0.8777256296637498,0.7150100907504537,64.57257705367822,70.58799339403237,1.0,4
ours,synthetic,D3h,0.1,60.0,0.0,60.0,0.0,0.8987020662301054,0.7222260720681581,64.21293141882187,78.37695436666584,1.0,4
ours,synthetic,D4h,0.0,45.0,0.0,45.0,0.0,2.576513380424763e-16,2.244022305994944e-16,4.554567251921001e-07,0.0,0.0,3
ours,synthetic,D4h,0.0001,45.0,0.0,45.0,0.0,0.6537314098684546,0.7424616536026676,47.91346633400177,34.486716003660675,1.0,3
ours,synthetic,D4h,0.001,45.0,0.0,45.0,0.0,0.6537969468459051,0.7416229273692876,47.904293034199455,34.483542962162005,1.0,3
ours,synthetic,D4h,0.003,45.0,0.0,45.0,0.0,0.6538384458161614,0.7420381707773758,47.87999039667624,34.47700005166292,1.0,3
ours,synthetic,D4h,0.01,45.0,0.0,45.0,0.0,0.6536286395292739,0.7357935028255167,47.78767505541636,34.459646368618884,1.0,3
ours,synthetic,D4h,0.03,45.0,0.0,45.0,0.0,0.6551992715561067,0.7268475051652195,48.11134992825546,35.27017079706569,1.0,3
ours,synthetic,D4h,0.1,45.0,0.0,45.0,0.0,0.6837720950809326,0.7147094833163541,50.66806575740448,39.376735709623965,0.9777777777777777,3
ours,synthetic,D5h,0.0,45.0,0.0,45.0,0.0,3.539162480215673e-16,3.278528387043068e-16,4.1751122980314033e-07,0.0,0.0,3
ours,synthetic,D5h,0.0001,45.0,0.0,45.0,0.0,0.7968615598894955,0.6890452575178588,45.01876732261648,23.211672152437323,1.0,3
ours,synthetic,D5h,0.001,45.0,0.0,45.0,0.0,0.7970664523971498,0.6898903385210278,45.03064466490232,23.213132713411166,1.0,3
ours,synthetic,D5h,0.003,45.0,0.0,45.0,0.0,0.7975382373940622,0.6894751046580735,45.05755584389265,23.266275900801944,1.0,3
ours,synthetic,D5h,0.01,45.0,0.0,45.0,0.0,0.7993070022362048,0.6941094443876745,45.137913771256564,23.6349576563532,1.0,3
ours,synthetic,D5h,0.03,45.0,0.0,45.0,0.0,0.8041109077354002,0.7026176651764616,45.212340847745025,24.599348197896166,1.0,3
ours,synthetic,D5h,0.1,45.0,0.0,45.0,0.0,0.8304637017169918,0.724519430804634,44.65862860474629,27.293498622967686,1.0,3
ours,synthetic,D6h,0.0,60.0,0.0,60.0,0.0,6.752016293833777e-16,6.702547787149248e-16,3.386491726861107e-07,0.0,0.0,4
ours,synthetic,D6h,0.0001,60.0,0.0,60.0,0.0,1.1559084428838058,1.1182525452137855,55.052069601712134,62.069319687986194,0.9666666666666667,4
ours,synthetic,D6h,0.001,60.0,0.0,60.0,0.0,1.1558402791520122,1.1182085584554038,55.026681632424484,62.11547924675516,0.9666666666666667,4
ours,synthetic,D6h,0.003,60.0,0.0,60.0,0.0,1.1557041053071928,1.1181168249453053,54.87944633208496,62.21536051579479,0.9666666666666667,4
ours,synthetic,D6h,0.01,60.0,0.0,60.0,0.0,1.1550885106952706,1.1178610179680295,54.65212597776373,61.36972897974521,0.9666666666666667,4
ours,synthetic,D6h,0.03,60.0,0.0,60.0,0.0,1.1545676833579577,1.1155422728056932,54.023165531499025,58.88264996547482,0.9666666666666667,4
ours,synthetic,D6h,0.1,60.0,0.0,60.0,0.0,1.1649602766014386,1.1081447862387208,51.73099130857761,55.570070825243754,0.9666666666666667,4
ours,synthetic,D7h,0.0,45.0,0.0,45.0,0.0,4.446688856703243e-16,4.1853307374613577e-16,4.135867348591879e-07,0.0,0.0,3
ours,synthetic,D7h,0.0001,45.0,0.0,45.0,0.0,1.1094799172780552,0.9808785658708776,45.45880283621397,30.601786254927976,1.0,3
ours,synthetic,D7h,0.001,45.0,0.0,45.0,0.0,1.1096609995200297,0.9809498084399882,45.45847198832795,30.621701723174446,1.0,3
ours,synthetic,D7h,0.003,45.0,0.0,45.0,0.0,1.11007263032903,0.9811168464377908,45.45793853196347,30.661956251128235,1.0,3
ours,synthetic,D7h,0.01,45.0,0.0,45.0,0.0,1.1115364455182593,0.9817953174522062,45.45511260874375,30.59440370830244,1.0,3
ours,synthetic,D7h,0.03,45.0,0.0,45.0,0.0,1.1164967951566707,0.9853945357242804,45.210943427062,30.433052855673438,1.0,3
ours,synthetic,D7h,0.1,45.0,0.0,45.0,0.0,1.136921350364929,1.0117939957983544,42.70986325181292,28.272650004070435,1.0,3
ours,synthetic,D8h,0.0,45.0,0.0,45.0,0.0,5.605415166310704e-16,5.40807857411668e-16,4.4232510917388873e-07,0.0,0.0,3
ours,synthetic,D8h,0.0001,45.0,0.0,45.0,0.0,1.2844349000032846,1.2041876912115563,34.309982907879586,21.181430269514866,0.8888888888888888,3
ours,synthetic,D8h,0.001,45.0,0.0,45.0,0.0,1.2844393370033171,1.20451789636273,34.300095573821025,21.185514705418587,0.8888888888888888,3
ours,synthetic,D8h,0.003,45.0,0.0,45.0,0.0,1.2844623725632878,1.205259006649161,34.278416774981444,21.194588705647778,0.8888888888888888,3
ours,synthetic,D8h,0.01,45.0,0.0,45.0,0.0,1.2846576228296063,1.2079324494218393,34.330133144834576,21.226321464327185,0.8888888888888888,3
ours,synthetic,D8h,0.03,45.0,0.0,45.0,0.0,1.2859406058501295,1.2133869482670594,33.753554380738876,21.316793804649084,0.8666666666666667,3
ours,synthetic,D8h,0.1,45.0,0.0,45.0,0.0,1.2970284268940946,1.2087518593996562,32.53868652247987,18.053459193277273,0.8666666666666667,3
ours,synthetic,Ih,0.0,15.0,0.0,15.0,0.0,2.9198965629977293e-16,2.70432727491445e-16,0.0,0.0,0.0,1
ours,synthetic,Ih,0.0001,15.0,0.0,15.0,0.0,0.566706731767473,0.6224516588290175,19.369852700420786,16.31701249862471,1.0,1
ours,synthetic,Ih,0.001,15.0,0.0,15.0,0.0,0.5666098574659492,0.622516708617312,19.36945571485605,16.35018775799655,1.0,1
ours,synthetic,Ih,0.003,15.0,0.0,15.0,0.0,0.5664086450172559,0.6226943733156652,19.368799454622483,16.424014582799913,1.0,1
ours,synthetic,Ih,0.01,15.0,0.0,15.0,0.0,0.5655264571443744,0.6234923411800994,20.65918094662852,18.135710250813215,1.0,1
ours,synthetic,Ih,0.03,15.0,0.0,15.0,0.0,0.5633263815275422,0.6203558868185862,21.318963039535387,19.337770576145186,0.9333333333333333,1
ours,synthetic,Ih,0.1,15.0,0.0,15.0,0.0,0.5650063720677816,0.6093791641947032,18.09341408890128,18.043437422875726,0.8666666666666667,1
ours,synthetic,Oh,0.0,30.0,0.0,30.0,0.0,2.2073077904667545e-16,1.8446689820085113e-16,2.345783131394525e-07,0.0,0.0,2
ours,synthetic,Oh,0.0001,30.0,0.0,30.0,0.0,0.579673134502691,0.6192382055640457,33.08222482860334,37.30136793863566,1.0,2
ours,synthetic,Oh,0.001,30.0,0.0,30.0,0.0,0.5797850088476927,0.6191616317438904,33.0861666201029,37.31446648531424,1.0,2
ours,synthetic,Oh,0.003,30.0,0.0,30.0,0.0,0.580046179115505,0.6190024080913019,33.09555525920059,37.344090629271676,1.0,2
ours,synthetic,Oh,0.01,30.0,0.0,30.0,0.0,0.5810931185734919,0.6185632687718957,33.13463556277062,37.45333892188213,1.0,2
ours,synthetic,Oh,0.03,30.0,0.0,30.0,0.0,0.5920745090652042,0.6303687281061978,33.75323605832389,38.14422158090255,1.0,2
ours,synthetic,Oh,0.1,30.0,0.0,30.0,0.0,0.6195146453357396,0.6660337556630086,35.980705145732834,41.99792512971845,1.0,2
ours,synthetic,Td,0.0,30.0,0.0,30.0,0.0,2.0424495448259356e-16,2.035793959817776e-16,8.04945513150489e-08,0.0,0.0,2
ours,synthetic,Td,0.0001,30.0,0.0,30.0,0.0,0.6167637718122535,0.6293215153842115,53.977498222721366,55.494299068673854,1.0,2
ours,synthetic,Td,0.001,30.0,0.0,30.0,0.0,0.6168222271440079,0.6295942234184808,53.974635183439545,55.5319016915481,1.0,2
ours,synthetic,Td,0.003,30.0,0.0,30.0,0.0,0.6169592538307003,0.6302137668633354,53.96839940818859,55.616001862253526,1.0,2
ours,synthetic,Td,0.01,30.0,0.0,30.0,0.0,0.6175167685381608,0.6324833046296272,53.94796401499003,55.916310010794,1.0,2
